"o_0","o_1","o_2","o_3","o_4","o_5"
"-2577736.0916137695","-43878.50284576416","-165.0097370147705","-107.71437644958496","-450.9594917297363","-723.6836814880371"
"-3030936.2411499023","-51134.161949157715","-129.05378341674805","-107.49530792236328","-439.45164680480957","-676.0007858276367"
"-2779221.3439941406","-43691.420555114746","-181.42229318618774","-111.80466651916504","-411.9399070739746","-705.166826248169"
"-5573746.871948242","-89263.4105682373","-163.95230293273926","-57.55382537841797","-299.1846561431885","-520.6908416748047"
"-200828.4091949463","-14057.412147521973","-324.3455171585083","-117.01709747314453","-567.1992301940918","-1008.5619163513184"
"-1352828.2165527344","-21051.38063430786","-224.12149906158447","-116.99934959411621","-537.9575252532959","-879.078426361084"
"-1231748.390197754","-20895.850658416748","-599.233341217041","-63.02497863769531","-264.28990364074707","-926.5481185913086"
"-47151.27348899841","-11865.465641021729","-415.02251625061035","-117.2344970703125","-573.1514930725098","-1105.4085445404053"
"-3390533.0657958984","-56691.694259643555","-263.2552146911621","-81.46127700805664","-291.5626287460327","-636.2791585922241"
"-2622031.4025878906","-44295.8402633667","-136.230731010437","-107.71437644958496","-450.673246383667","-694.6184062957764"
"-7770189.666748047","-133522.6345062256","-90.39499759674072","-51.6840124130249","-164.75563049316406","-306.83464765548706"
"-1526901.2451171875","-25597.58186340332","-206.2732219696045","-113.94679069519043","-508.8362216949463","-829.0563011169434"
"-3392201.614379883","-53599.4815826416","-277.81927585601807","-54.86630439758301","-342.89326667785645","-675.5789279937744"
"-2026212.501525879","-33985.233306884766","-465.93122482299805","-65.47423362731934","-269.7483777999878","-801.1538600921631"
"-2354536.4379882812","-45262.59899139404","-155.76335191726685","-110.08390426635742","-420.34006118774414","-686.1873435974121"
"-2240439.796447754","-37428.44343185425","-396.3369607925415","-63.11774253845215","-297.47846126556396","-756.9331169128418"
"-3939672.8515625","-59014.291763305664","-334.8145008087158","-35.56763172149658","-293.6206102371216","-664.0027284622192"
"-2245573.9974975586","-45271.73042297363","-171.47209644317627","-116.27898216247559","-506.34655952453613","-794.0977191925049"
"-461960.1249694824","-8300.3830909729","-308.08794498443604","-116.51185035705566","-556.6195011138916","-981.2193489074707"
"-2400578.1173706055","-34375.159740448","-491.91365242004395","-32.891507148742676","-335.7325792312622","-860.5377960205078"
"-3513275.5279541016","-55700.84095001221","-241.3813591003418","-56.88758373260498","-308.5373878479004","-606.8062734603882"
"-56716.930866241455","-12032.978534698486","-414.7051811218262","-117.22445487976074","-572.6841449737549","-1104.6137523651123"
"-2107841.3009643555","-45356.89830780029","-147.8355050086975","-108.59373092651367","-468.96042823791504","-725.3896522521973"
"-6645128.631591797","-104956.03561401367","-110.21323204040527","-49.89667892456055","-294.353985786438","-454.46396827697754"
"-3277274.3225097656","-54767.66109466553","-100.96710920333862","-107.49530792236328","-436.79094314575195","-645.2533149719238"
"-2698211.4791870117","-43453.57894897461","-402.4608612060547","-46.06770992279053","-302.16729640960693","-750.69580078125"
"-7686768.341064453","-133570.48988342285","-109.08524990081787","-63.750152587890625","-121.76543474197388","-294.6008348464966"
"-4120518.8751220703","-65372.59101867676","-193.18628311157227","-53.47953796386719","-342.26441383361816","-588.9302730560303"
"-541944.8852539062","-9525.904655456543","-478.86266708374023","-73.28458786010742","-488.4030342102051","-1040.5503273010254"
"-4647593.307495117","-74199.65267181396","-171.99666500091553","-55.73801040649414","-312.7309799194336","-540.4656314849854"
"-39311.957359313965","-1771.7596888542175","-502.76455879211426","-117.23462104797363","-573.326826095581","-1193.3260345458984"
"-2271420.2880859375","-40192.856788635254","-206.06565475463867","-113.94679069519043","-417.0051097869873","-737.017650604248"
