hospitalizations,measure1,measure2
-132105.5173465024,-65724.76269382903,-1.1319160124778458
-133170.3012930426,-62601.244625785366,-1.1319129191190054
-134209.79749770625,-59480.774565493404,-1.1319095416245717
-135225.08489306064,-56363.18172863776,-1.1319058389829404
-136217.17340426877,-53248.29083056084,-1.131901761865191
-137187.00368368407,-50135.93950061992,-1.1318977004444304
-138135.45390482162,-47025.97724348272,-1.131893803790435
-139063.3391200354,-43918.282824747745,-1.1318894404709168
-139971.43901743586,-40812.69000732241,-1.1318845212530173
-140860.4686544083,-37709.096753059035,-1.1318789327109458
-141731.10527432355,-34607.39108648656,-1.1318725282688384
-142583.98592702576,-31507.468743699952,-1.1318651151828438
-143419.71117336498,-28409.232564135462,-1.1318564348103721
-144238.8439049321,-25312.610194707726,-1.1318461318814963
-145041.93022041587,-22217.48053022655,-1.1318337044033315
-145829.47178848393,-19123.78290664222,-1.131818419800748
-146601.95168770765,-16031.443602727759,-1.131799164838874
-147359.82654381334,-12940.393764748678,-1.1317741616408907
-148103.53215883425,-9850.56905398125,-1.1317403846692675
-148833.47798781592,-6761.927553376019,-1.1316922338139974
-149550.06779822035,-3674.376551878161,-1.1316180539167005
-150253.67520175988,-587.881587590388,-1.2786805939120627
